"iso2_o","iso2_d","year","p"
"DE","AE",2010,0.1531
"DE","AE",2011,0.6215
"DE","AE",2012,0.0312
"DE","AE",2013,0.0114
"DE","AE",2014,0.0045
"DE","AE",2015,0.0
"DE","AE",2016,0.0
"DE","AE",2017,0.002
"DK","AE",2001,0.0232
"DK","AE",2002,0.0378
"DK","AE",2003,0.3144
"DK","AE",2004,0.1191
"DK","AE",2005,0.2267
"DK","AE",2006,0.2606
"DK","AE",2007,0.105
"DK","AE",2008,0.2893
"DK","AE",2009,0.7295
"DK","AE",2010,0.3152
"DK","AE",2011,0.5997
"DK","AE",2012,0.0471
"DK","AE",2013,0.0724
"DK","AE",2014,0.3771
"DK","AE",2015,0.4768
"DK","AE",2016,0.5359
"DK","AE",2017,0.4646
"EE","AE",2001,0.4024
"EE","AE",2002,0.0225
"EE","AE",2003,0.0001
"EE","AE",2004,0.0359
"EE","AE",2005,0.9046
"EE","AE",2006,0.3606
"EE","AE",2007,0.0
"EE","AE",2008,0.0422
"EE","AE",2009,0.0
"EE","AE",2010,0.3901
"EE","AE",2011,0.1615
"EE","AE",2012,0.0
"EE","AE",2013,0.2736
"EE","AE",2014,0.3106
"EE","AE",2015,0.0135
"EE","AE",2016,0.0004
"EE","AE",2017,0.0
"ES","AE",2001,0.9997
"ES","AE",2002,0.656
"ES","AE",2003,0.9899
"ES","AE",2004,1.0
"ES","AE",2005,0.9973
"ES","AE",2006,0.9996
"ES","AE",2007,0.9997
"ES","AE",2008,0.9519
"ES","AE",2009,0.8983
"ES","AE",2010,0.6703
"ES","AE",2011,0.8102
"ES","AE",2012,0.8174
"ES","AE",2013,0.0059
"ES","AE",2014,0.8019
"ES","AE",2015,0.8511
"ES","AE",2016,0.9946
"ES","AE",2017,0.9071
"FI","AE",2001,0.0001
"FI","AE",2002,0.0
"FI","AE",2003,0.0001
"FI","AE",2004,0.0003
"FI","AE",2005,0.0057
"FI","AE",2006,0.0137
"FI","AE",2007,0.0024
"FI","AE",2008,0.0093
"FI","AE",2009,0.0082
"FI","AE",2010,0.1568
"FI","AE",2011,0.0817
"FI","AE",2012,0.1581
"FI","AE",2013,0.0947
"FI","AE",2014,0.0941
"FI","AE",2015,0.068
"FI","AE",2016,0.0111
"FI","AE",2017,0.0011
"FR","AE",2001,0.0025
"FR","AE",2002,0.0028
"FR","AE",2003,0.0193
"FR","AE",2004,0.0059
"FR","AE",2005,0.0008
"FR","AE",2006,0.0065
"FR","AE",2007,0.0181
"FR","AE",2008,0.4227
"FR","AE",2009,0.0373
"FR","AE",2010,0.0113
"FR","AE",2011,0.1046
"FR","AE",2012,0.2239
"FR","AE",2013,0.1832
"FR","AE",2014,0.0556
"FR","AE",2015,0.5214
"FR","AE",2016,0.5879
"FR","AE",2017,0.4038
"GB","AE",2001,0.992
"GB","AE",2002,0.9107
"GB","AE",2003,0.8303
"GB","AE",2004,0.9516
"GB","AE",2005,0.7838
"GB","AE",2006,0.9978
"GB","AE",2007,0.9945
"GB","AE",2008,0.0699
"GB","AE",2009,0.7713
"GB","AE",2010,0.8237
"GB","AE",2011,0.7539
"GB","AE",2012,0.9677
"GB","AE",2013,0.0003
"GB","AE",2014,0.7948
"GB","AE",2015,0.4308
"GB","AE",2016,0.8908
"GB","AE",2017,0.5717
"GR","AE",2001,0.0007
"GR","AE",2002,0.0003
"GR","AE",2003,0.0
"GR","AE",2004,0.0
"GR","AE",2005,0.0
"GR","AE",2006,0.0
"GR","AE",2007,0.0
"GR","AE",2008,0.0
"GR","AE",2009,0.0
"GR","AE",2010,0.0
"GR","AE",2011,0.0
"GR","AE",2012,0.0
"GR","AE",2013,0.0
"GR","AE",2014,0.0
"GR","AE",2015,0.0
"GR","AE",2016,0.0012
"GR","AE",2017,0.0006
"HR","AE",2001,0.0014
"HR","AE",2002,0.257
"HR","AE",2003,0.0007
"HR","AE",2004,0.0
"HR","AE",2005,0.0
"HR","AE",2006,0.0
"HR","AE",2007,0.0
"HR","AE",2008,0.0
"HR","AE",2009,0.0
"HR","AE",2010,0.0023
"HR","AE",2011,0.0
"HR","AE",2012,0.0011
"HR","AE",2013,0.0
"HR","AE",2014,0.0039
"HR","AE",2015,0.1179
"HR","AE",2016,0.0291
"HR","AE",2017,0.002
"HU","AE",2001,0.01
"HU","AE",2002,0.0
"HU","AE",2003,0.0
"HU","AE",2004,0.0003
"HU","AE",2005,0.0031
"HU","AE",2006,0.0129
"HU","AE",2007,0.0033
"HU","AE",2008,0.0019
"HU","AE",2009,0.0002
"HU","AE",2010,0.0
"HU","AE",2011,0.0
"HU","AE",2012,0.0
"HU","AE",2013,0.0
"HU","AE",2014,0.4975
"HU","AE",2015,0.7514
"HU","AE",2016,0.6618
"HU","AE",2017,0.404
"IE","AE",2001,0.0115
"IE","AE",2002,0.0882
"IE","AE",2003,0.2392
"IE","AE",2004,0.594
"IE","AE",2005,0.2529
"IE","AE",2006,0.139
"IE","AE",2007,0.1505
"IE","AE",2008,0.2035
"IE","AE",2009,0.143
"IE","AE",2010,0.0083
"IE","AE",2011,0.0075
"IE","AE",2012,0.0594
"IE","AE",2013,0.04
"IE","AE",2014,0.0012
"IE","AE",2015,0.0016
"IE","AE",2016,0.0013
"IE","AE",2017,0.0006
"IT","AE",2001,0.5776
"IT","AE",2002,0.7409
"IT","AE",2003,0.9721
"IT","AE",2004,0.9726
"IT","AE",2005,0.7057
"IT","AE",2006,0.8889
"IT","AE",2007,0.8363
"IT","AE",2008,0.8323
"IT","AE",2009,0.8097
"IT","AE",2010,0.4425
"IT","AE",2011,0.6199
"IT","AE",2012,0.5679
"IT","AE",2013,0.155
"IT","AE",2014,0.2182
"IT","AE",2015,0.4866
"IT","AE",2016,0.4609
"IT","AE",2017,0.5811
"LT","AE",2001,0.0001
"LT","AE",2002,0.9503
"LT","AE",2003,0.0003
"LT","AE",2004,0.2359
"LT","AE",2005,0.6728
"LT","AE",2006,0.0
"LT","AE",2007,0.0012
"LT","AE",2008,0.6921
"LT","AE",2009,0.0
"LT","AE",2010,0.4028
"LT","AE",2011,0.3346
"LT","AE",2012,0.0056
"LT","AE",2013,0.4455
"LT","AE",2014,0.2782
"LT","AE",2015,0.0
"LT","AE",2016,0.0
"LT","AE",2017,0.0
"LU","AE",2001,0.0058
"LU","AE",2002,0.0001
"LU","AE",2003,0.0009
"LU","AE",2004,0.0164
"LU","AE",2005,0.0024
"LU","AE",2006,0.0016
"LU","AE",2007,0.0189
"LU","AE",2008,0.0018
"LU","AE",2009,0.032
"LU","AE",2010,0.0267
"LU","AE",2011,0.0011
"LU","AE",2012,0.0
"LU","AE",2013,0.0029
"LU","AE",2014,0.0001
"LU","AE",2015,0.003
"LU","AE",2016,0.0
"LU","AE",2017,0.0008
"LV","AE",2001,0.8508
"LV","AE",2002,0.4554
"LV","AE",2003,0.8316
"LV","AE",2004,0.6491
"LV","AE",2005,0.9082
"LV","AE",2006,0.9885
"LV","AE",2007,0.3208
"LV","AE",2008,0.0
"LV","AE",2009,1.0
"LV","AE",2010,0.004
"LV","AE",2011,0.1292
"LV","AE",2012,0.0
"LV","AE",2013,0.0077
"LV","AE",2014,0.003
"LV","AE",2015,0.0003
"LV","AE",2016,0.0003
"LV","AE",2017,0.0
"MT","AE",2001,0.0
"MT","AE",2002,0.0
"MT","AE",2003,0.0
"MT","AE",2004,0.001
"MT","AE",2005,0.0082
"MT","AE",2006,0.0158
"MT","AE",2007,0.0281
"MT","AE",2008,0.0062
"MT","AE",2009,0.0
"MT","AE",2010,0.0
"MT","AE",2011,0.0
"MT","AE",2012,0.0
"MT","AE",2013,0.0
"MT","AE",2014,0.0
"MT","AE",2015,0.0
"MT","AE",2016,0.0
"MT","AE",2017,0.0
"NL","AE",2001,0.8653
"NL","AE",2002,0.9292
"NL","AE",2003,0.9932
"NL","AE",2004,0.9979
"NL","AE",2005,0.8853
"NL","AE",2006,0.8188
"NL","AE",2007,0.5363
"NL","AE",2008,0.8576
"NL","AE",2009,0.9121
"NL","AE",2010,0.7256
"NL","AE",2011,0.3382
"NL","AE",2012,0.777
"NL","AE",2013,0.6645
"NL","AE",2014,0.8483
"NL","AE",2015,0.9557
"NL","AE",2016,0.6276
"NL","AE",2017,0.7018
"PL","AE",2001,0.0042
"PL","AE",2002,0.0
"PL","AE",2003,0.0042
"PL","AE",2004,0.0038
"PL","AE",2005,0.2444
"PL","AE",2006,0.2275
"PL","AE",2007,0.3405
"PL","AE",2008,0.0302
"PL","AE",2009,0.9123
"PL","AE",2010,0.9915
"PL","AE",2011,0.9817
"PL","AE",2012,0.9483
"PL","AE",2013,0.5326
"PL","AE",2014,0.2282
"PL","AE",2015,0.7877
"PL","AE",2016,0.9782
"PL","AE",2017,0.9952
"PT","AE",2001,0.0
"PT","AE",2002,0.6792
"PT","AE",2003,0.1185
"PT","AE",2004,0.8849
"PT","AE",2005,0.1298
"PT","AE",2006,0.5465
"PT","AE",2007,0.0618
"PT","AE",2008,0.0635
"PT","AE",2009,0.9574
"PT","AE",2010,0.9055
"PT","AE",2011,0.2867
"PT","AE",2012,0.4221
"PT","AE",2013,0.0328
"PT","AE",2014,0.9684
"PT","AE",2015,0.8954
"PT","AE",2016,0.9423
"PT","AE",2017,0.769
"RO","AE",2001,0.0
"RO","AE",2002,0.0
"RO","AE",2003,0.0
"RO","AE",2004,0.0
"RO","AE",2005,0.0
"RO","AE",2006,0.0
"RO","AE",2007,0.0
"RO","AE",2008,0.0
"RO","AE",2009,0.1518
"RO","AE",2010,0.0196
"RO","AE",2011,0.0424
"RO","AE",2012,0.0002
"RO","AE",2013,0.0005
"RO","AE",2014,0.0
"RO","AE",2015,0.0002
"RO","AE",2016,0.0
"RO","AE",2017,0.0002
"SE","AE",2001,0.6099
"SE","AE",2002,0.8446
"SE","AE",2003,0.9448
"SE","AE",2004,0.994
"SE","AE",2005,0.9331
"SE","AE",2006,0.9744
"SE","AE",2007,0.9113
"SE","AE",2008,0.6812
"SE","AE",2009,0.9516
"SE","AE",2010,0.9534
"SE","AE",2011,0.8364
"SE","AE",2012,0.237
"SE","AE",2013,0.0134
"SE","AE",2014,0.2351
"SE","AE",2015,0.114
"SE","AE",2016,0.0456
"SE","AE",2017,0.022
"SI","AE",2001,0.0467
"SI","AE",2002,0.1603
"SI","AE",2003,0.0328
"SI","AE",2004,0.0932
"SI","AE",2005,0.1166
"SI","AE",2006,0.2201
"SI","AE",2007,0.3207
"SI","AE",2008,0.1674
"SI","AE",2009,0.263
"SI","AE",2010,0.0952
"SI","AE",2011,0.2403
"SI","AE",2012,0.0617
"SI","AE",2013,0.0077
"SI","AE",2014,0.0378
"SI","AE",2015,0.3031
"SI","AE",2016,0.1409
"SI","AE",2017,0.3775
"SK","AE",2001,0.0
"SK","AE",2002,0.0
"SK","AE",2003,0.0
"SK","AE",2004,0.0
"SK","AE",2005,0.0
"SK","AE",2006,0.0
"SK","AE",2007,0.0
"SK","AE",2008,0.0
"SK","AE",2009,0.0001
"SK","AE",2010,0.0
"SK","AE",2011,0.0
"SK","AE",2012,0.0
"SK","AE",2013,0.0
"SK","AE",2014,0.0001
"SK","AE",2015,0.0001
"SK","AE",2016,0.0005
"SK","AE",2017,0.0
"AT","AF",2001,0.9981
"AT","AF",2002,0.0
"AT","AF",2003,0.0004
"AT","AF",2004,0.323
"AT","AF",2005,0.3205
"AT","AF",2006,0.9733
"AT","AF",2007,0.9768
"AT","AF",2008,0.5115
"AT","AF",2009,0.5545
"AT","AF",2010,0.7172
